sy_snum,sy_pnum,disc_year,pl_orbper,pl_orbsmax,pl_bmasse,pl_orbeccen,st_mass,ra,dec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag
1,1,1995,4.231,0.052,146.2018,0.0,1.04,344.3675399,20.7690958,15.4614,5.45309,3.911,5.28647
1,1,1995,4.230785,0.0527,150.009,0.013,1.03,344.3675399,20.7690958,15.4614,5.45309,3.911,5.28647
1,1,1995,4.2307969,0.05235,147.47238,0.0042,1.07,344.3675399,20.7690958,15.4614,5.45309,3.911,5.28647
1,3,1996,1076.6,2.1,778.6835,0.012,1.06,164.8647611,40.4304931,13.7967,5.03352,3.75,4.87837
2,5,1996,14.65152,0.115227,263.9785,0.0034,0.95,133.1468373,28.3298154,12.5855,5.95084,4.015,5.72973
2,5,1996,14.67,0.115,249.17872,0.0197,0.95,133.1468373,28.3298154,12.5855,5.95084,4.015,5.72973
2,5,1996,14.653,0.115,266.9772,0.02,0.95,133.1468373,28.3298154,12.5855,5.95084,4.015,5.72973
2,3,1996,4.617033,0.059222,218.531,0.0215,1.3,24.1983534,41.4038147,13.4054,4.09565,2.859,3.98687
1,1,1996,116.69335,0.4765,2297.89938,0.3989,1.06,202.1064898,13.7763085,17.9011,4.96808,3.5,4.76178
1,1,1996,116.6926,0.481,2351.942,0.399,1.09,202.1064898,13.7763085,17.9011,4.96808,3.5,4.76178
1,1,1996,116.688,0.481,2357.02728,0.3988,1.09,202.1064898,13.7763085,17.9011,4.96808,3.5,4.76178
1,1,1996,116.6884,0.48,2421.8646,0.4,1.14,202.1064898,13.7763085,17.9011,4.96808,3.5,4.76178
1,1,1996,116.6884,0.484,2380.45,0.4007,1.11,202.1064898,13.7763085,17.9011,4.96808,3.5,4.76178
2,3,1996,4.617136,0.0595,213.58176,0.013,1.15,24.1983534,41.4038147,13.4054,4.09565,2.859,3.98687
2,3,1996,4.617122,0.05914,214.53417,0.0069,1.29,24.1983534,41.4038147,13.4054,4.09565,2.859,3.98687
2,3,1996,4.611,0.057,216.1244,0.109,1.2,24.1983534,41.4038147,13.4054,4.09565,2.859,3.98687
2,1,1996,3.3124568,0.049,1373.0256,0.011,1.32,206.8134593,17.4571647,15.6521,4.48635,3.507,4.36617
2,3,1996,4.617111,0.0594,219.3016,0.012,1.31,24.1983534,41.4038147,13.4054,4.09565,2.859,3.98687
2,1,1996,3.3124534,0.04869,1366.66215,0.0074,1.4,206.8134593,17.4571647,15.6521,4.48635,3.507,4.36617
2,1,1996,3.312463,0.0481,1312.58,0.023,1.35,206.8134593,17.4571647,15.6521,4.48635,3.507,4.36617
3,1,1996,799.45,1.676,556.83537,0.6832,0.98,295.4656422,50.5168243,21.1397,6.215,4.651,6.06428
1,3,1996,1078.0,2.1,804.08,0.032,1.06,164.8647611,40.4304931,13.7967,5.03352,3.75,4.87837
2,1,1996,3.3128,0.0462,1229.95,0.018,1.2,206.8134593,17.4571647,15.6521,4.48635,3.507,4.36617
1,3,1996,1076.6,2.059,774.86566,0.016,1.01,164.8647611,40.4304931,13.7967,5.03352,3.75,4.87837
3,1,1996,800.8,1.6,476.7,0.634,1.0,295.4656422,50.5168243,21.1397,6.215,4.651,6.06428
3,1,1996,799.5,1.68,533.93,0.689,1.03,295.4656422,50.5168243,21.1397,6.215,4.651,6.06428
3,1,1996,798.5,1.681,533.9544,0.681,0.99,295.4656422,50.5168243,21.1397,6.215,4.651,6.06428
3,1,1996,798.5,1.66,565.7374,0.68,1.08,295.4656422,50.5168243,21.1397,6.215,4.651,6.06428
2,5,1996,14.65126,0.1138,260.61,0.0159,0.9,133.1468373,28.3298154,12.5855,5.95084,4.015,5.72973
2,5,1996,14.465314,0.11339,266.966,0.0023,0.9,133.1468373,28.3298154,12.5855,5.95084,4.015,5.72973
2,5,1996,14.651,0.1134,254.25,0.004,0.9,133.1468373,28.3298154,12.5855,5.95084,4.015,5.72973
2,5,1996,14.65162,0.115,261.881,0.014,0.9,133.1468373,28.3298154,12.5855,5.95084,4.015,5.72973
2,5,1996,14.6516,0.1134,255.4,0.0,0.91,133.1468373,28.3298154,12.5855,5.95084,4.015,5.72973
2,5,1996,14.65171,0.1162,267.29369,0.0048,0.97,133.1468373,28.3298154,12.5855,5.95084,4.015,5.72973
2,5,1996,14.648,0.11,266.9772,0.051,0.85,133.1468373,28.3298154,12.5855,5.95084,4.015,5.72973
1,4,1997,39.645,0.23,349.613,0.028,1.0,240.2600639,33.3001861,17.4671,5.40816,3.857,5.24167
1,4,1997,39.8458,0.2196,332.1,0.0373,0.89,240.2600639,33.3001861,17.4671,5.40816,3.857,5.24167
1,4,1997,39.84324,0.2213,335.94463,0.0355,0.91,240.2600639,33.3001861,17.4671,5.40816,3.857,5.24167
1,4,1997,39.8438,0.2245,347.38645,0.038,0.95,240.2600639,33.3001861,17.4671,5.40816,3.857,5.24167
1,4,1998,61.1166,0.208317,723.2235,0.0324,0.32,343.3239737,-14.2665958,4.67517,10.16,5.01,8.8753
1,4,1998,61.087,0.218585,845.3,0.0368,0.37,343.3239737,-14.2665958,4.67517,10.16,5.01,8.8753
1,4,1998,61.065,0.211,839.04,0.031,0.33,343.3239737,-14.2665958,4.67517,10.16,5.01,8.8753
1,2,1998,58.11187,0.292,2424.39509,0.53,0.98,275.0159879,-9.5966905,39.6245,6.92122,5.211,6.73166
1,2,1998,3.097,0.042,165.26,0.03,1.0,296.7428786,34.41899,45.9548,7.83,6.337,7.67284
2,1,1998,18.2008,0.138,1166.39,0.014,1.06,307.0792427,18.7692509,37.6681,6.87591,5.256,6.72911
1,1,1998,442.1,1.1,390.91,0.472,0.92,332.3748117,-7.5505962,21.2985,6.54348,4.799,6.34701
1,2,1998,7.12689,0.073,422.7,0.132,1.02,344.5647243,-2.3954489,20.0619,6.155,4.536,5.96401
1,2,1998,7.1269,0.074,435.41,0.13,1.05,344.5647243,-2.3954489,20.0619,6.155,4.536,5.96401
1,2,1998,58.11289,0.3,2548.89,0.5286,0.98,275.0159879,-9.5966905,39.6245,6.92122,5.211,6.73166
1,2,1998,58.11212,0.3,2545.8183,0.5295,0.98,275.0159879,-9.5966905,39.6245,6.92122,5.211,6.73166
1,2,1998,58.11159,0.2977,2517.20098,0.5313,1.04,275.0159879,-9.5966905,39.6245,6.92122,5.211,6.73166
1,2,1998,58.11247,0.2931,2434.157,0.52883,0.99,275.0159879,-9.5966905,39.6245,6.92122,5.211,6.73166
2,1,1998,18.201228,0.1376,1161.66283,0.0198,1.05,307.0792427,18.7692509,37.6681,6.87591,5.256,6.72911
2,1,1998,18.2,0.13,1102.82,0.02,1.03,307.0792427,18.7692509,37.6681,6.87591,5.256,6.72911
2,1,1998,18.20163,0.1388,1175.92,0.014,1.03,307.0792427,18.7692509,37.6681,6.87591,5.256,6.72911
